mask;bits;render_name;col;row;x;y;N-S;E-W;N-E;N-W;S-E;S-W;path_count;deg_N;deg_E;deg_S;deg_W;crossing;prototype;direction;is_rep
25;100110;tile_25_100110;1;3;64;192;1;0;0;1;1;0;3;2;1;2;1;0;gofarovich-scl-rail-25;0;1
26;010110;tile_26_010110;2;3;128;192;0;1;0;1;1;0;3;1;2;1;2;0;gofarovich-scl-rail-26;0;1
27;110110;tile_27_110110;3;3;192;192;1;1;0;1;1;0;4;2;2;2;2;1;gofarovich-scl-rail-27;0;1
28;001110;tile_28_001110;4;3;256;192;0;0;1;1;1;0;3;2;2;1;1;0;gofarovich-scl-rail-28;0;1
29;101110;tile_29_101110;5;3;320;192;1;0;1;1;1;0;4;3;2;2;1;0;gofarovich-scl-rail-29;0;1
30;011110;tile_30_011110;6;3;384;192;0;1;1;1;1;0;4;2;3;1;2;0;gofarovich-scl-rail-30;0;1
31;111110;tile_31_111110;7;3;448;192;1;1;1;1;1;0;5;3;3;2;2;1;gofarovich-scl-rail-31;0;1
32;000001;tile_32_000001;0;4;0;256;0;0;0;0;0;1;1;0;0;1;1;0;gofarovich-scl-rail-4;8;0
33;100001;tile_33_100001;1;4;64;256;1;0;0;0;0;1;2;1;0;2;1;0;gofarovich-scl-rail-5;8;0
34;010001;tile_34_010001;2;4;128;256;0;1;0;0;0;1;2;0;1;1;2;0;gofarovich-scl-rail-6;8;0
35;110001;tile_35_110001;3;4;192;256;1;1;0;0;0;1;3;1;1;2;2;1;gofarovich-scl-rail-7;8;0
36;001001;tile_36_001001;4;4;256;256;0;0;1;0;0;1;2;1;1;1;1;0;gofarovich-scl-rail-24;4;0
37;101001;tile_37_101001;5;4;320;256;1;0;1;0;0;1;3;2;1;2;1;0;gofarovich-scl-rail-26;4;0
38;011001;tile_38_011001;6;4;384;256;0;1;1;0;0;1;3;1;2;1;2;0;gofarovich-scl-rail-25;4;0
39;111001;tile_39_111001;7;4;448;256;1;1;1;0;0;1;4;2;2;2;2;1;gofarovich-scl-rail-27;4;0
40;000101;tile_40_000101;0;5;0;320;0;0;0;1;0;1;2;1;0;1;2;0;gofarovich-scl-rail-12;12;0
41;100101;tile_41_100101;1;5;64;320;1;0;0;1;0;1;3;2;0;2;2;0;gofarovich-scl-rail-14;12;0
42;010101;tile_42_010101;2;5;128;320;0;1;0;1;0;1;3;1;1;1;3;0;gofarovich-scl-rail-13;12;0
43;110101;tile_43_110101;3;5;192;320;1;1;0;1;0;1;4;2;1;2;3;1;gofarovich-scl-rail-15;12;0
44;001101;tile_44_001101;4;5;256;320;0;0;1;1;0;1;3;2;1;1;2;0;gofarovich-scl-rail-28;12;0
45;101101;tile_45_101101;5;5;320;320;1;0;1;1;0;1;4;3;1;2;2;0;gofarovich-scl-rail-30;12;0
46;011101;tile_46_011101;6;5;384;320;0;1;1;1;0;1;4;2;2;1;3;0;gofarovich-scl-rail-29;12;0
47;111101;tile_47_111101;7;5;448;320;1;1;1;1;0;1;5;3;2;2;3;1;gofarovich-scl-rail-31;12;0
48;000011;tile_48_000011;0;6;0;384;0;0;0;0;1;1;2;0;1;2;1;0;gofarovich-scl-rail-12;8;0
49;100011;tile_49_100011;1;6;64;384;1;0;0;0;1;1;3;1;1;3;1;0;gofarovich-scl-rail-13;8;0
50;010011;tile_50_010011;2;6;128;384;0;1;0;0;1;1;3;0;2;2;2;0;gofarovich-scl-rail-14;8;0
51;110011;tile_51_110011;3;6;192;384;1;1;0;0;1;1;4;1;2;3;2;1;gofarovich-scl-rail-15;8;0
52;001011;tile_52_001011;4;6;256;384;0;0;1;0;1;1;3;1;2;2;1;0;gofarovich-scl-rail-28;4;0
53;101011;tile_53_101011;5;6;320;384;1;0;1;0;1;1;4;2;2;3;1;0;gofarovich-scl-rail-30;4;0
54;011011;tile_54_011011;6;6;384;384;0;1;1;0;1;1;4;1;3;2;2;0;gofarovich-scl-rail-29;4;0
55;111011;tile_55_111011;7;6;448;384;1;1;1;0;1;1;5;2;3;3;2;1;gofarovich-scl-rail-31;4;0
56;000111;tile_56_000111;0;7;0;448;0;0;0;1;1;1;3;1;1;2;2;0;gofarovich-scl-rail-28;8;0
57;100111;tile_57_100111;1;7;64;448;1;0;0;1;1;1;4;2;1;3;2;0;gofarovich-scl-rail-29;8;0
58;010111;tile_58_010111;2;7;128;448;0;1;0;1;1;1;4;1;2;2;3;0;gofarovich-scl-rail-30;8;0
59;110111;tile_59_110111;3;7;192;448;1;1;0;1;1;1;5;2;2;3;3;1;gofarovich-scl-rail-31;8;0
60;001111;tile_60_001111;4;7;256;448;0;0;1;1;1;1;4;2;2;2;2;0;gofarovich-scl-rail-60;0;1
61;101111;tile_61_101111;5;7;320;448;1;0;1;1;1;1;5;3;2;3;2;0;gofarovich-scl-rail-61;0;1
62;011111;tile_62_011111;6;7;384;448;0;1;1;1;1;1;5;2;3;2;3;0;gofarovich-scl-rail-61;4;0
63;111111;tile_63_111111;7;7;448;448;1;1;1;1;1;1;6;3;3;3;3;1;gofarovich-scl-rail-63;0;1
